,1% Missing,10% Missing,30% Missing,50% Missing,Total
BaggingClassifier,6%,8%,7%,4%,6%
LGBMClassifier,19%,18%,20%,21%,20%
RandomForestClassifier,13%,16%,23%,25%,19%
ExtraTreesClassifier,7%,9%,14%,14%,11%
HistGradientBoostingClassifier,25%,22%,14%,8%,17%
XGBClassifier,3%,4%,4%,3%,4%
DecisionTreeClassifier,1%,0%,0%,1%,1%
BernoulliNB,0%,0%,0%,1%,0%
LogisticRegression,5%,5%,4%,5%,5%
KNeighborsClassifier,2%,2%,1%,2%,2%
LinearSVC,2%,2%,1%,1%,1%
GaussianNB,2%,2%,1%,0%,1%
SVC,5%,2%,4%,2%,3%
AdaBoostClassifier,1%,1%,2%,6%,3%
MLPClassifier,9%,5%,2%,1%,4%
SGDClassifier,0%,0%,0%,0%,0%
LinearDiscriminantAnalysis,0%,0%,2%,2%,1%
QuadraticDiscriminantAnalysis,0%,1%,0%,2%,1%
MultinomialNB,0%,0%,0%,0%,0%
