,1% Missing,10% Missing,30% Missing,50% Missing,Total
BaggingClassifier,5%,9%,7%,4%,6%
LGBMClassifier,19%,18%,21%,25%,21%
HistGradientBoostingClassifier,30%,22%,11%,9%,18%
RandomForestClassifier,12%,17%,28%,23%,20%
XGBClassifier,3%,3%,5%,5%,4%
ExtraTreesClassifier,7%,9%,13%,15%,11%
LogisticRegression,4%,4%,3%,1%,3%
GaussianNB,3%,3%,1%,1%,2%
SVC,3%,3%,2%,1%,2%
LinearSVC,1%,3%,1%,0%,1%
AdaBoostClassifier,1%,1%,5%,12%,5%
MLPClassifier,9%,7%,2%,0%,4%
KNeighborsClassifier,3%,1%,1%,1%,1%
BernoulliNB,0%,0%,0%,1%,0%
MultinomialNB,0%,1%,0%,0%,0%
DecisionTreeClassifier,0%,0%,0%,1%,0%
LinearDiscriminantAnalysis,1%,1%,1%,2%,1%
SGDClassifier,1%,0%,0%,0%,0%
