,1% Missing,10% Missing,30% Missing,50% Missing,Total
RandomForestClassifier,15%,16%,20%,21%,18%
BaggingClassifier,6%,11%,8%,7%,8%
HistGradientBoostingClassifier,19%,17%,13%,11%,15%
LGBMClassifier,21%,17%,19%,23%,20%
XGBClassifier,8%,11%,11%,11%,10%
ExtraTreesClassifier,6%,9%,9%,12%,9%
GaussianNB,1%,4%,3%,0%,2%
SVC,6%,3%,3%,0%,3%
AdaBoostClassifier,1%,1%,1%,6%,2%
LogisticRegression,7%,5%,5%,6%,6%
LinearDiscriminantAnalysis,1%,1%,4%,1%,2%
LinearSVC,0%,1%,0%,1%,0%
DecisionTreeClassifier,1%,0%,1%,0%,0%
KNeighborsClassifier,2%,1%,0%,1%,1%
MLPClassifier,7%,3%,2%,0%,3%
MultinomialNB,0%,0%,1%,0%,0%
