,1% Missing,10% Missing,30% Missing,50% Missing,Total
BaggingClassifier,3%,6%,5%,2%,4%
RandomForestClassifier,15%,20%,23%,24%,20%
LGBMClassifier,20%,19%,17%,20%,19%
XGBClassifier,5%,7%,9%,12%,8%
ExtraTreesClassifier,11%,11%,15%,11%,12%
HistGradientBoostingClassifier,22%,12%,13%,10%,14%
GaussianNB,3%,3%,3%,2%,3%
AdaBoostClassifier,1%,2%,1%,3%,2%
SVC,1%,3%,1%,0%,1%
LinearSVC,2%,1%,2%,1%,2%
LogisticRegression,3%,5%,5%,7%,5%
QuadraticDiscriminantAnalysis,0%,1%,1%,0%,1%
LinearDiscriminantAnalysis,0%,1%,3%,5%,2%
KNeighborsClassifier,3%,3%,0%,2%,2%
MLPClassifier,9%,6%,1%,1%,4%
DecisionTreeClassifier,1%,0%,0%,0%,0%
