,1% Missing,10% Missing,30% Missing,50% Missing,Total
BaggingClassifier,9%,12%,10%,7%,10%
RandomForestClassifier,14%,16%,17%,19%,16%
HistGradientBoostingClassifier,23%,25%,19%,18%,21%
LGBMClassifier,19%,21%,25%,27%,23%
XGBClassifier,6%,8%,8%,8%,8%
ExtraTreesClassifier,8%,6%,10%,10%,8%
GaussianNB,2%,3%,1%,0%,1%
SVC,4%,1%,1%,1%,2%
AdaBoostClassifier,1%,2%,2%,3%,2%
LinearDiscriminantAnalysis,0%,0%,3%,2%,1%
MLPClassifier,8%,4%,2%,2%,4%
SGDClassifier,0%,0%,0%,0%,0%
LogisticRegression,3%,1%,2%,2%,2%
QuadraticDiscriminantAnalysis,0%,0%,0%,0%,0%
DecisionTreeClassifier,1%,0%,0%,0%,0%
KNeighborsClassifier,3%,0%,0%,0%,1%
BernoulliNB,0%,0%,0%,0%,0%
