,1% Missing,10% Missing,30% Missing,50% Missing,Total
BaggingClassifier,11%,11%,11%,9%,10%
XGBClassifier,5%,3%,6%,8%,6%
HistGradientBoostingClassifier,22%,29%,22%,15%,22%
RandomForestClassifier,15%,16%,18%,19%,17%
LGBMClassifier,18%,25%,25%,26%,24%
ExtraTreesClassifier,6%,6%,9%,8%,7%
GaussianNB,2%,1%,1%,0%,1%
SVC,3%,2%,1%,1%,2%
AdaBoostClassifier,2%,1%,2%,5%,2%
LinearSVC,1%,1%,0%,0%,0%
MLPClassifier,9%,2%,0%,2%,3%
LogisticRegression,4%,3%,2%,3%,3%
LinearDiscriminantAnalysis,0%,0%,2%,2%,1%
KNeighborsClassifier,2%,1%,0%,1%,1%
DecisionTreeClassifier,1%,0%,1%,1%,0%
