,1% Missing,10% Missing,30% Missing,50% Missing,Total
BaggingClassifier,7%,13%,8%,7%,9%
HistGradientBoostingClassifier,25%,28%,20%,19%,23%
RandomForestClassifier,15%,17%,15%,23%,17%
XGBClassifier,5%,6%,5%,7%,6%
LGBMClassifier,19%,18%,31%,25%,23%
ExtraTreesClassifier,9%,5%,8%,9%,8%
GaussianNB,2%,1%,2%,0%,1%
SVC,3%,1%,0%,0%,1%
AdaBoostClassifier,1%,1%,1%,3%,2%
MLPClassifier,8%,4%,1%,2%,4%
LinearDiscriminantAnalysis,0%,1%,3%,1%,1%
QuadraticDiscriminantAnalysis,0%,1%,1%,1%,1%
KNeighborsClassifier,2%,1%,1%,1%,1%
LogisticRegression,4%,3%,2%,3%,3%
DecisionTreeClassifier,0%,0%,1%,0%,0%
