,DatasetID,Exp_Name,Triplicate,Exp1ImputeRMSEAcc,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
0,home,class_full_,1/,0,0.9957607250810299,0.9491039426523298,0.9592756473287447,0.3223477064308027,0.9383780635985419,0.798544193927298,0.755730659025788,0.7102706832569308,0.5066990273351843,0.7019497648023031,0.798544193927298,0.755730659025788,0.7102706832569308,0.5066990273351843,0.7019497648023031,RandomForestClassifier,1265.0436663627625,0.10998392105102539,0.9671814276349674,0.9030465949820788,0.8971443788921665,0.3686113319591208,0.8818165713541876,0.780264758162597,0.7163323782234957,0.701551958919346,0.552956010845172,0.675725900116144,0.7882012660991049,0.745702005730659,0.6925837569256037,0.5060437859721576,0.6868948585125895,KNNImputer,ExtraTreesClassifier,3669.591290950775,0.08408069610595703
1,home,class_full_,2/,0,0.9580717420257734,0.8917562724014337,0.884622137940722,0.37361440612581487,0.8684665704209169,0.7950359143875844,0.7521489971346705,0.7044885188303656,0.5007787120222927,0.696902610441767,0.7950359143875844,0.7521489971346705,0.7044885188303656,0.5007787120222927,0.696902610441767,ExtraTreesClassifier,882.1818504333496,0.0778958797454834,0.9770230486491549,0.9234767025089605,0.9159350564217821,0.3426563359690015,0.9055134072527757,0.7786431533975738,0.7120343839541547,0.701931372854752,0.5529981451288722,0.6734248284466625,0.7951294685086434,0.75,0.6897095664286235,0.4950837713223341,0.6873271633580222,KNNImputer,ExtraTreesClassifier,6268.257753372192,0.08229422569274902
2,home,class_full_,3/,0,0.9411432564394708,0.8594982078853046,0.8539793744439763,0.3974490612181033,0.8322184253218736,0.794978742424715,0.7414040114613181,0.7021106849201152,0.505851308789362,0.6898837270123165,0.794978742424715,0.7414040114613181,0.7021106849201152,0.505851308789362,0.6898837270123165,ExtraTreesClassifier,1564.884970664978,0.08148789405822754,0.9486793297019454,0.874731182795699,0.870036756098703,0.41073204386135453,0.8495988133313133,0.7807922994563465,0.6762177650429799,0.7056475504412636,0.5882277076719651,0.6528761582860777,0.7941809336701282,0.745702005730659,0.6967417178615607,0.5134729734156771,0.6892508171917198,SimpleImputer,RandomForestClassifier,7202.43670129776,0.09948563575744629
3,hosp,class_full_,1/,0,0.8182093602904638,0.792831541218638,0.7427423036595754,0.5311334282432247,0.7391149885850068,0.7906323504704302,0.7822349570200573,0.7300382224462365,0.5447812506211326,0.7260964300835424,0.7906323504704302,0.7822349570200573,0.7300382224462365,0.5447812506211326,0.7260964300835424,LGBMClassifier,883.6184480190277,0.017737627029418945,0.9846146244134655,0.9399641577060932,0.9530763281747234,0.28627876615783987,0.9273778226952054,0.797140141969086,0.7564469914040115,0.729576192876344,0.5239135061454087,0.7105288836846213,0.8003428469422044,0.7951289398280802,0.7268460181451613,0.47961717945305676,0.7318867635642777,SimpleImputer,RandomForestClassifier,5646.538182735443,0.10297536849975586
4,hosp,class_full_,2/,0,0.9822441077311185,0.9344086021505377,0.9253669745328694,0.2680871424578222,0.9176703964953199,0.8048030073924731,0.8065902578796562,0.722677251344086,0.45694112780539176,0.7359638873244172,0.8048030073924731,0.8065902578796562,0.722677251344086,0.45694112780539176,0.7359638873244172,RandomForestClassifier,1320.0024118423462,0.09281301498413086,0.9742762824060219,0.9161290322580645,0.9024353447320602,0.29096361765289597,0.8948113642266478,0.7899025537634409,0.7729226361031518,0.724546370967742,0.5032462804007171,0.7177958162827374,0.800962386592742,0.8022922636103151,0.7223149781586021,0.4637121695346815,0.7333067537149169,KNNImputer,RandomForestClassifier,6190.860703229904,0.08978152275085449
5,hosp,class_full_,3/,0,0.976806037397363,0.9209677419354839,0.9080846110292393,0.2845734784632939,0.9007794449208344,0.8111742901545698,0.8065902578796562,0.7235330561155914,0.45637712047658724,0.7364962360599994,0.8111742901545698,0.8065902578796562,0.7235330561155914,0.45637712047658724,0.7364962360599994,RandomForestClassifier,1426.6307294368744,0.08978009223937988,0.9546876721148604,0.882258064516129,0.8566967670847521,0.3402040171329133,0.8516376351037578,0.7954259072580645,0.7614613180515759,0.723580309139785,0.516697279927036,0.7106494434488927,0.8030362693212366,0.7994269340974212,0.731487315188172,0.4729858027467367,0.7370318941669088,KNNImputer,RandomForestClassifier,5636.04446387291,0.08749890327453613
6,rehab,class_full_,1/,0,0.9721587946041017,0.9193548387096774,0.9105298826981979,0.3324298606867998,0.8852514843275736,0.7662081844351797,0.7851002865329513,0.6777347627556085,0.47491772645846714,0.6768398829586281,0.7662081844351797,0.7851002865329513,0.6777347627556085,0.47491772645846714,0.6768398829586281,RandomForestClassifier,1645.3761327266693,0.08564591407775879,0.9925939296531152,0.9451612903225807,0.9549247249318207,0.24738469217653797,0.9226976626940119,0.749205876513798,0.7213467048710601,0.6714314075838793,0.5180511617324619,0.6395544643503115,0.7612294024220766,0.7636103151862464,0.6817798292634505,0.48054253704431865,0.6676948112840073,SimpleImputer,LGBMClassifier,7731.974900007248,0.04637336730957031
7,rehab,class_full_,2/,0,0.9545588611318577,0.8829749103942652,0.8761754078905338,0.369085778939488,0.839217060057728,0.7672876960492356,0.7643266475644699,0.6759355767321819,0.4858960520889348,0.6646815531924991,0.7672876960492356,0.7643266475644699,0.6759355767321819,0.4858960520889348,0.6646815531924991,RandomForestClassifier,1080.2053515911102,0.08619284629821777,0.9979320826218776,0.9507168458781362,0.9679024948685805,0.28757312188988593,0.9310707561719973,0.7526243299583085,0.7055873925501432,0.6828779531467144,0.555803476687089,0.636388064147129,0.7592658080206472,0.7578796561604585,0.6605246178280723,0.4849109574555904,0.6520079414949009,KNNImputer,RandomForestClassifier,4887.823204278946,0.0982205867767334
8,rehab,class_full_,3/,0,0.9900085957591664,0.9136200716845878,0.9343570784056032,0.371538046876453,0.8835360801028722,0.772210641254715,0.7593123209169055,0.6941756005558865,0.5085772542058988,0.6720842048746658,0.772210641254715,0.7593123209169055,0.6941756005558865,0.5085772542058988,0.6720842048746658,RandomForestClassifier,2069.8856089115143,0.10277318954467773,0.9946420285991633,0.924910394265233,0.9496975163230047,0.31368563183641884,0.8984837430573439,0.7507848173515982,0.6891117478510028,0.6812772979948383,0.5689206709752126,0.6263862577946168,0.7599885844748858,0.754297994269341,0.6733732876712328,0.4906454514615768,0.6579152482434175,KNNImputer,RandomForestClassifier,3527.502563714981,0.09888124465942383
9,los,class_full_,1/,0,0.9722553529574123,0.9231182795698925,0.9072988196094198,0.349984599767742,0.8900854537362484,0.7880258453506862,0.8065902578796562,0.6941082036623438,0.47418576483659364,0.7008371986703876,0.7880258453506862,0.8065902578796562,0.6941082036623438,0.47418576483659364,0.7008371986703876,ExtraTreesClassifier,1095.8227245807648,0.0760951042175293,0.9472332255421911,0.8826164874551972,0.8643918413284761,0.38268848841175457,0.8372951526651717,0.7755259602393361,0.7571633237822349,0.690972509443847,0.5212320391926024,0.6708076219174994,0.795553349693477,0.7929799426934098,0.7100348342386559,0.48135878813572947,0.7021179510844485,SimpleImputer,ExtraTreesClassifier,4516.405827283859,0.07697343826293945
