,DatasetID,Exp_Name,Triplicate,Exp1ImputeRMSEAcc,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
0,home,class_non_simple_,1/,0,0.9864931742389953,0.9304659498207886,0.9371429742004964,0.2991847605962309,0.9160244954154488,0.7550753110674526,0.6726361031518625,0.682401950083679,0.6033120503184415,0.6422253215767227,0.7811509235870729,0.7435530085959885,0.6977630170164552,0.5144112873451206,0.68869953034097,LGBMClassifier,639.3849873542786,0.030731916427612305,0.9335670259035549,0.8507168458781362,0.8546056328135974,0.39069526680992733,0.8250581650908136,0.7865042982921175,0.6962750716332379,0.7177368218625586,0.5721703664215535,0.6699873995026706,0.8026891612353302,0.7449856733524355,0.727851061839274,0.5149863367043709,0.7042675597384576,KNNImputer,LGBMClassifier,6486.509064674377,0.039138078689575195
1,home,class_non_simple_,2/,0,0.9719012891947996,0.8913978494623656,0.9055696024722573,0.3964070733618416,0.8726288255084067,0.7800022868785148,0.6611747851002865,0.6986595773432709,0.6010908070183467,0.6407321944778003,0.792268271639588,0.7392550143266475,0.708121537198158,0.5250174454791035,0.6917559593136113,RandomForestClassifier,510.7276916503906,0.10707640647888184,0.9569631086346918,0.8829749103942652,0.8723662031184155,0.40232046480057077,0.8575078781983971,0.7863509734826042,0.7320916905444126,0.718178605212004,0.5430087482986471,0.6923029775838454,0.7902412656833089,0.7492836676217765,0.7025238822881259,0.5152210959989894,0.694310139443627,KNNImputer,ExtraTreesClassifier,5424.524290561676,0.08711671829223633
2,home,class_non_simple_,3/,0,0.9652516023890164,0.9,0.8915226857704734,0.39493522128555847,0.8777165268609384,0.779594286961674,0.6876790830945558,0.7093481356742654,0.5780860403171275,0.6615328493131183,0.7913535202336774,0.75,0.6946991195517718,0.5136362649206515,0.6902800742762295,RandomForestClassifier,1088.2427320480347,0.10720014572143555,0.9853048766212482,0.9376344086021505,0.932917193426043,0.34040839089512365,0.9228603176827777,0.7821020571511731,0.7041547277936963,0.7031813598611241,0.5671656139889737,0.669336037306572,0.7995706905333624,0.7628939828080229,0.6968872464943192,0.49517334555061465,0.698030397194628,KNNImputer,RandomForestClassifier,6684.657313108444,0.09938883781433105
3,hosp,class_non_simple_,1/,0,0.9693072263493762,0.9051971326164875,0.8855825963363041,0.31099239013091406,0.8804441285435218,0.7925565986223118,0.7636103151862464,0.720766129032258,0.5171028043473721,0.7104848379725643,0.8036426831317204,0.7987106017191977,0.7181619623655914,0.4666405924309997,0.7287417841349528,RandomForestClassifier,996.0188205242157,0.09840655326843262,0.9875413260348562,0.95,0.946038159080384,0.25322524288460263,0.9373294147545064,0.7931446362567204,0.7836676217765043,0.727591565860215,0.4951155270194806,0.7256425007093343,0.801056892641129,0.8065902578796562,0.7175424227150538,0.45749113114275,0.7326922258627292,KNNImputer,RandomForestClassifier,7756.815119743347,0.09659886360168457
4,hosp,class_non_simple_,2/,0,0.9980684557282206,0.9811827956989247,0.9807596619485615,0.20383231594695958,0.9761811365415229,0.7960559475806451,0.7944126074498568,0.7237903225806452,0.4768689719005797,0.7297141588866694,0.8046586231518817,0.8137535816618912,0.7181462113575269,0.4472034239543417,0.7370426718829239,RandomForestClassifier,1045.937028169632,0.103485107421875,0.9823473663871568,0.9367383512544802,0.9284508624231901,0.27200112876649374,0.9206107731697512,0.7984422253024193,0.7772206303724928,0.7180622059811828,0.49342191277559094,0.7167545999421969,0.802999516969086,0.7929799426934098,0.7082650789650538,0.4611242840132797,0.7193610700122636,KNNImputer,RandomForestClassifier,7338.3893167972565,0.09684419631958008
5,hosp,class_non_simple_,3/,0,0.9694446309520859,0.9057347670250896,0.8870171365044959,0.30352955375236895,0.8812928062246657,0.790708480342742,0.7607449856733525,0.7248036374327957,0.5212059377309707,0.7108289672144161,0.8047846312163979,0.7987106017191977,0.7181619623655914,0.4635333309292577,0.7287417841349528,RandomForestClassifier,1100.4384896755219,0.09568977355957031,0.9505308955972906,0.8912186379928315,0.8640892003758024,0.3248757800139433,0.8618432782316546,0.7999569472446237,0.7886819484240688,0.721595682123656,0.4848025482269552,0.72519226598602,0.8039918304771506,0.8008595988538681,0.7196268061155914,0.46239898716196237,0.7308443467936128,IterativeImputer,RandomForestClassifier,10776.9235394001,0.11007928848266602
6,rehab,class_non_simple_,1/,0,0.9891768045071,0.928673835125448,0.9416634736970546,0.2764309086906863,0.9014188715185393,0.7530462080603533,0.7320916905444126,0.6958569088743299,0.5261092655334572,0.6573473202284946,0.7676599414333929,0.7714899713467048,0.6943182946198134,0.47933530973098676,0.6791186145127412,LGBMClassifier,461.66905546188354,0.038193464279174805,0.953648767643262,0.8888888888888888,0.882122297601348,0.3787304135526164,0.8465911358446223,0.751091919793528,0.7285100286532952,0.6822575441731189,0.5458260789955796,0.6488204164235682,0.7520690639269407,0.747134670487106,0.6575094302163986,0.498851920190348,0.6449180906677043,KNNImputer,ExtraTreesClassifier,5651.164604187012,0.07689476013183594
7,rehab,class_non_simple_,2/,0,0.9968377942940013,0.9458781362007168,0.9645285039570803,0.29344115912705615,0.9248041658017363,0.7506483273774072,0.6977077363896849,0.679155499305142,0.5610283340735664,0.6303263052208835,0.7620855668056382,0.7664756446991404,0.6772942723843558,0.4831371305747102,0.6666256446319738,RandomForestClassifier,860.5365941524506,0.11004638671875,0.9573130402951471,0.8729390681003584,0.8909731705061317,0.35343737451911267,0.8332998982537029,0.7569827029978162,0.7199140401146131,0.6944547845940043,0.5427923372431714,0.6496989136761797,0.7615613212229501,0.744269340974212,0.684664730990669,0.5077817521315469,0.6586995750625764,KNNImputer,LGBMClassifier,7659.545601844788,0.042402029037475586
8,rehab,class_non_simple_,3/,0,0.9993510434987382,0.9718637992831541,0.9812690558110363,0.26518578795494147,0.9593381125106991,0.7580342962080604,0.7199140401146131,0.6856387730792137,0.5466661417178654,0.6456749291623796,0.7652093259876911,0.7865329512893983,0.6761216994242605,0.47563634066427324,0.6765654398158947,RandomForestClassifier,1084.037633895874,0.11087775230407715,0.9814077848355575,0.910752688172043,0.9249716907298701,0.3116024683382657,0.8787114088897827,0.7533595145920191,0.7227793696275072,0.6937475183641056,0.539351649885149,0.6510286300800903,0.7561482529283303,0.7421203438395415,0.6744900238237046,0.4985576690378931,0.6521392439759787,KNNImputer,LGBMClassifier,10939.672667264938,0.03852224349975586
9,los,class_non_simple_,1/,0,0.9976975229744915,0.9594982078853047,0.9733455866508813,0.26886259405362345,0.943307152879715,0.7630720305879541,0.7621776504297995,0.6880145096705605,0.5139963752587475,0.6719924812030076,0.7903695738090644,0.7872492836676218,0.6842813944724773,0.46104584439610213,0.6836025228648939,RandomForestClassifier,876.6504080295563,0.10619664192199707,0.996355991563905,0.9654121863799283,0.9755700119845261,0.2774509108166546,0.9510165095385539,0.7770731273915987,0.7922636103151862,0.6665808831413927,0.47883624904767286,0.6743606903386057,0.7789144094876578,0.7851002865329513,0.6681740057536236,0.4784191806830388,0.6718938026474127,KNNImputer,ExtraTreesClassifier,7429.364530324936,0.08681058883666992
