,HistGradientBoostingRegressor,LGBMRegressor,XGBRegressor,RandomForestRegressor,MLPRegressor,ExtraTreesRegressor,LinearSVR,ARDRegression,SGDRegressor,AdaBoostRegressor,KNeighborsRegressor,DecisionTreeRegressor,Impute First
0,18.30%,19.10%,15.70%,1.70%,33.90%,3.50%,0.90%,5.20%,0.00%,0.00%,1.70%,0.00%,1% Missing
1,15.80%,15.80%,14.20%,5.00%,28.30%,11.70%,2.50%,4.20%,0.00%,1.70%,0.00%,0.80%,10% Missing
2,7.30%,34.10%,11.40%,5.70%,12.20%,8.90%,2.40%,10.60%,1.60%,4.90%,0.00%,0.80%,30% Missing
3,5.50%,35.20%,9.40%,1.60%,10.20%,14.80%,7.00%,10.90%,0.80%,3.10%,1.60%,0.00%,50% Missing
,,,,,,,,,,,,,
,,,,Impute First,1% Missing,10% Missing,30% Missing,50% Missing,Total,,,,
,,,,LGBMRegressor,19.10%,15.80%,34.10%,35.20%,26.05%,,,,
,,,,MLPRegressor,33.90%,28.30%,12.20%,10.20%,21.15%,,,,
,,,,XGBRegressor,15.70%,14.20%,11.40%,9.40%,12.68%,,,,
,,,,HistGradientBoostingRegressor,18.30%,15.80%,7.30%,5.50%,11.73%,,,,
,,,,ExtraTreesRegressor,3.50%,11.70%,8.90%,14.80%,9.73%,,,,
,,,,ARDRegression,5.20%,4.20%,10.60%,10.90%,7.73%,,,,
,,,,RandomForestRegressor,1.70%,5.00%,5.70%,1.60%,3.50%,,,,
,,,,LinearSVR,0.90%,2.50%,2.40%,7.00%,3.20%,,,,
,,,,AdaBoostRegressor,0.00%,1.70%,4.90%,3.10%,2.43%,,,,
,,,,KNeighborsRegressor,1.70%,0.00%,0.00%,1.60%,0.83%,,,,
,,,,SGDRegressor,0.00%,0.00%,1.60%,0.80%,0.60%,,,,
,,,,DecisionTreeRegressor,0.00%,0.80%,0.80%,0.00%,0.40%,,,,
,,,,,,,,,,,,,
