LGBMRegressor,XGBRegressor,HistGradientBoostingRegressor,KNeighborsRegressor,ExtraTreesRegressor,RandomForestRegressor,MLPRegressor,AdaBoostRegressor,LinearSVR,ARDRegression,DecisionTreeRegressor,Complex TPOT
19.10%,24.30%,13.00%,0.90%,6.10%,5.20%,22.60%,0.00%,1.70%,6.10%,0.90%,1% Missing
23.30%,15.00%,20.00%,3.30%,3.30%,4.20%,22.50%,0.80%,3.30%,3.30%,0.80%,10% Missing
28.50%,20.30%,14.60%,0.00%,11.40%,4.10%,12.20%,2.40%,1.60%,4.90%,0.00%,30% Missing
36.70%,15.60%,10.90%,0.00%,10.90%,10.20%,9.40%,0.00%,0.80%,4.70%,0.80%,50% Missing
,,,,,,,,,,,
,,,,,,,,,,,
Complex TPOT,1% Missing,10% Missing,30% Missing,50% Missing,Total,,,,,,
LGBMRegressor,19.10%,23.30%,28.50%,36.70%,26.90%,,,,,,
XGBRegressor,24.30%,15.00%,20.30%,15.60%,18.80%,,,,,,
MLPRegressor,22.60%,22.50%,12.20%,9.40%,16.68%,,,,,,
HistGradientBoostingRegressor,13.00%,20.00%,14.60%,10.90%,14.63%,,,,,,
ExtraTreesRegressor,6.10%,3.30%,11.40%,10.90%,7.93%,,,,,,
RandomForestRegressor,5.20%,4.20%,4.10%,10.20%,5.93%,,,,,,
ARDRegression,6.10%,3.30%,4.90%,4.70%,4.75%,,,,,,
LinearSVR,1.70%,3.30%,1.60%,0.80%,1.85%,,,,,,
KNeighborsRegressor,0.90%,3.30%,0.00%,0.00%,1.05%,,,,,,
AdaBoostRegressor,0.00%,0.80%,2.40%,0.00%,0.80%,,,,,,
DecisionTreeRegressor,0.90%,0.80%,0.00%,0.80%,0.63%,,,,,,
,,,,,,,,,,,
