,MLPRegressor,HistGradientBoostingRegressor,XGBRegressor,LGBMRegressor,ExtraTreesRegressor,RandomForestRegressor,Missing Fraction,
0,83.30%,11.10%,5.60%,0.00%,0.00%,0.00%,1.00%,
1,61.10%,0.00%,11.10%,11.10%,5.60%,11.10%,10.00%,
2,50.00%,0.00%,11.10%,11.10%,11.10%,16.70%,30.00%,
3,50.00%,0.00%,5.60%,11.10%,5.60%,27.80%,50.00%,
,,,,,,,,
,,,,,,,,
,,Simple TPOT,1% Missing,10% Missing,30% Missing,50% Missing,Total,
,,MLPRegressor,83.30%,61.10%,50.00%,50.00%,61.10%,
,,RandomForestRegressor,0.00%,11.10%,16.70%,27.80%,13.90%,
,,XGBRegressor,5.60%,11.10%,11.10%,5.60%,8.35%,
,,LGBMRegressor,0.00%,11.10%,11.10%,11.10%,8.33%,
,,ExtraTreesRegressor,0.00%,5.60%,11.10%,5.60%,5.58%,
,,HistGradientBoostingRegressor,11.10%,0.00%,0.00%,0.00%,2.78%,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,1.70%,5%,13%,0%,4.9%,,
,,20.90%,34.20%,8.90%,5.50%,17.4%,,
,,77.40%,57.50%,48.80%,50.00%,58.4%,,
,,0%,3.30%,29.30%,44.50%,19.3%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,10.40%,19.20%,48.00%,68.00%,36.40%
,,,,50.40%,36.70%,19.50%,17.20%,30.95%
,,,,39.10%,44.20%,32.50%,14.80%,32.65%
