,DatasetID,Exp_Name,Triplicate,Exp1ImputeRMSEAcc,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
0,home,class_full_,1/,0,0.995760725,0.949103943,0.959275647,0.322347706,0.938378064,0.798544194,0.755730659,0.710270683,0.506699027,0.701949765,0.798544194,0.755730659,0.710270683,0.506699027,0.701949765,RandomForestClassifier,1265.043666,0.109983921,0.967181428,0.903046595,0.897144379,0.368611332,0.881816571,0.780264758,0.716332378,0.701551959,0.552956011,0.6757259,0.788201266,0.745702006,0.692583757,0.506043786,0.686894859,KNNImputer,ExtraTreesClassifier,3669.591291,0.084080696
1,home,class_full_,2/,0,0.958071742,0.891756272,0.884622138,0.373614406,0.86846657,0.795035914,0.752148997,0.704488519,0.500778712,0.69690261,0.795035914,0.752148997,0.704488519,0.500778712,0.69690261,ExtraTreesClassifier,882.1818504,0.07789588,0.977023049,0.923476703,0.915935056,0.342656336,0.905513407,0.778643153,0.712034384,0.701931373,0.552998145,0.673424828,0.795129469,0.75,0.689709566,0.495083771,0.687327163,KNNImputer,ExtraTreesClassifier,6268.257753,0.082294226
2,home,class_full_,3/,0,0.941143256,0.859498208,0.853979374,0.397449061,0.832218425,0.794978742,0.741404011,0.702110685,0.505851309,0.689883727,0.794978742,0.741404011,0.702110685,0.505851309,0.689883727,ExtraTreesClassifier,1564.884971,0.081487894,0.94867933,0.874731183,0.870036756,0.410732044,0.849598813,0.780792299,0.676217765,0.70564755,0.588227708,0.652876158,0.794180934,0.745702006,0.696741718,0.513472973,0.689250817,SimpleImputer,RandomForestClassifier,7202.436701,0.099485636
3,hosp,class_full_,1/,0,0.81820936,0.792831541,0.742742304,0.531133428,0.739114989,0.79063235,0.782234957,0.730038222,0.544781251,0.72609643,0.79063235,0.782234957,0.730038222,0.544781251,0.72609643,LGBMClassifier,883.618448,0.017737627,0.984614624,0.939964158,0.953076328,0.286278766,0.927377823,0.797140142,0.756446991,0.729576193,0.523913506,0.710528884,0.800342847,0.79512894,0.726846018,0.479617179,0.731886764,SimpleImputer,RandomForestClassifier,5646.538183,0.102975368
4,hosp,class_full_,2/,0,0.982244108,0.934408602,0.925366975,0.268087142,0.917670396,0.804803007,0.806590258,0.722677251,0.456941128,0.735963887,0.804803007,0.806590258,0.722677251,0.456941128,0.735963887,RandomForestClassifier,1320.002412,0.092813015,0.974276282,0.916129032,0.902435345,0.290963618,0.894811364,0.789902554,0.772922636,0.724546371,0.50324628,0.717795816,0.800962387,0.802292264,0.722314978,0.46371217,0.733306754,KNNImputer,RandomForestClassifier,6190.860703,0.089781523
5,hosp,class_full_,3/,0,0.976806037,0.920967742,0.908084611,0.284573478,0.900779445,0.81117429,0.806590258,0.723533056,0.45637712,0.736496236,0.81117429,0.806590258,0.723533056,0.45637712,0.736496236,RandomForestClassifier,1426.630729,0.089780092,0.954687672,0.882258065,0.856696767,0.340204017,0.851637635,0.795425907,0.761461318,0.723580309,0.51669728,0.710649443,0.803036269,0.799426934,0.731487315,0.472985803,0.737031894,KNNImputer,RandomForestClassifier,5636.044464,0.087498903
6,rehab,class_full_,1/,0,0.972158795,0.919354839,0.910529883,0.332429861,0.885251484,0.766208184,0.785100287,0.677734763,0.474917726,0.676839883,0.766208184,0.785100287,0.677734763,0.474917726,0.676839883,RandomForestClassifier,1645.376133,0.085645914,0.99259393,0.94516129,0.954924725,0.247384692,0.922697663,0.749205877,0.721346705,0.671431408,0.518051162,0.639554464,0.761229402,0.763610315,0.681779829,0.480542537,0.667694811,SimpleImputer,LGBMClassifier,7731.9749,0.046373367
7,rehab,class_full_,2/,0,0.954558861,0.88297491,0.876175408,0.369085779,0.83921706,0.767287696,0.764326648,0.675935577,0.485896052,0.664681553,0.767287696,0.764326648,0.675935577,0.485896052,0.664681553,RandomForestClassifier,1080.205352,0.086192846,0.997932083,0.950716846,0.967902495,0.287573122,0.931070756,0.75262433,0.705587393,0.682877953,0.555803477,0.636388064,0.759265808,0.757879656,0.660524618,0.484910957,0.652007941,KNNImputer,RandomForestClassifier,4887.823204,0.098220587
8,rehab,class_full_,3/,0,0.990008596,0.913620072,0.934357078,0.371538047,0.88353608,0.772210641,0.759312321,0.694175601,0.508577254,0.672084205,0.772210641,0.759312321,0.694175601,0.508577254,0.672084205,RandomForestClassifier,2069.885609,0.10277319,0.994642029,0.924910394,0.949697516,0.313685632,0.898483743,0.750784817,0.689111748,0.681277298,0.568920671,0.626386258,0.759988584,0.754297994,0.673373288,0.490645451,0.657915248,KNNImputer,RandomForestClassifier,3527.502564,0.098881245
9,los,class_full_,1/,0,0.972255353,0.92311828,0.90729882,0.3499846,0.890085454,0.788025845,0.806590258,0.694108204,0.474185765,0.700837199,0.788025845,0.806590258,0.694108204,0.474185765,0.700837199,ExtraTreesClassifier,1095.822725,0.076095104,0.947233226,0.882616487,0.864391841,0.382688488,0.837295153,0.77552596,0.757163324,0.690972509,0.521232039,0.670807622,0.79555335,0.792979943,0.710034834,0.481358788,0.702117951,SimpleImputer,ExtraTreesClassifier,4516.405827,0.076973438
