,DatasetID,Exp_Name,Triplicate,Exp1ImputeRMSEAcc,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
0,home,class_full_,1/,0.192728896,0.969402759,0.90734767,0.898224236,0.426938654,0.886166265,0.780212784,0.724928367,0.712435422,0.571571667,0.685552388,0.786904502,0.752148997,0.694509413,0.536556602,0.691248364,RandomForestClassifier,1690.830316,0.104052782,0.967181428,0.903046595,0.897144379,0.368611332,0.881816571,0.780264758,0.716332378,0.701551959,0.552956011,0.6757259,0.788201266,0.745702006,0.692583757,0.506043786,0.686894859,KNNImputer,ExtraTreesClassifier,3669.591291,0.084080696
1,home,class_full_,2/,0.190194126,0.975764842,0.920430108,0.9136378,0.345279574,0.902034332,0.77868993,0.712034384,0.69694182,0.552707566,0.671193003,0.791564017,0.746418338,0.681432625,0.49799953,0.680524417,ExtraTreesClassifier,1267.990315,0.07951951,0.977023049,0.923476703,0.915935056,0.342656336,0.905513407,0.778643153,0.712034384,0.701931373,0.552998145,0.673424828,0.795129469,0.75,0.689709566,0.495083771,0.687327163,KNNImputer,ExtraTreesClassifier,6268.257753,0.082294226
2,home,class_full_,3/,0.188764748,0.965980611,0.896236559,0.900992649,0.334147668,0.876196598,0.780015281,0.706303725,0.717960312,0.569207042,0.676457288,0.789287533,0.737106017,0.70664806,0.515547414,0.68983243,LGBMClassifier,1394.135872,0.04173708,0.94867933,0.874731183,0.870036756,0.410732044,0.849598813,0.780792299,0.676217765,0.70564755,0.588227708,0.652876158,0.794180934,0.745702006,0.696741718,0.513472973,0.689250817,SimpleImputer,RandomForestClassifier,7202.436701,0.099485636
3,hosp,class_full_,1/,0.182989891,0.979673804,0.930824373,0.944066641,0.294206457,0.91669579,0.793798303,0.749283668,0.728116599,0.533816856,0.705551257,0.798203335,0.786532951,0.723554057,0.483328523,0.725083531,RandomForestClassifier,1527.290158,0.094097614,0.984614624,0.939964158,0.953076328,0.286278766,0.927377823,0.797140142,0.756446991,0.729576193,0.523913506,0.710528884,0.800342847,0.79512894,0.726846018,0.479617179,0.731886764,SimpleImputer,RandomForestClassifier,5646.538183,0.102975368
4,hosp,class_full_,2/,0.190693617,0.988007714,0.946774194,0.939780258,0.258931549,0.933014448,0.797678301,0.790830946,0.72733955,0.494406688,0.729672662,0.802870884,0.802292264,0.712045321,0.45823367,0.726752053,RandomForestClassifier,1122.101636,0.097608089,0.974276282,0.916129032,0.902435345,0.290963618,0.894811364,0.789902554,0.772922636,0.724546371,0.50324628,0.717795816,0.800962387,0.802292264,0.722314978,0.46371217,0.733306754,KNNImputer,RandomForestClassifier,6190.860703,0.089781523
5,hosp,class_full_,3/,0.1919133,0.951634565,0.873835125,0.847321653,0.346322239,0.841446024,0.799468666,0.76217765,0.722356981,0.518268725,0.710459569,0.803230532,0.79226361,0.723181284,0.476263318,0.728136928,RandomForestClassifier,1763.401333,0.086065769,0.954687672,0.882258065,0.856696767,0.340204017,0.851637635,0.795425907,0.761461318,0.723580309,0.51669728,0.710649443,0.803036269,0.799426934,0.731487315,0.472985803,0.737031894,KNNImputer,RandomForestClassifier,5636.044464,0.087498903
6,rehab,class_full_,1/,0.197315055,0.935424165,0.857168459,0.853552862,0.406411676,0.808778814,0.744794769,0.698424069,0.658198084,0.557228143,0.62098855,0.748721958,0.737106017,0.653687711,0.510614488,0.637788406,ExtraTreesClassifier,1177.548335,0.072500706,0.99259393,0.94516129,0.954924725,0.247384692,0.922697663,0.749205877,0.721346705,0.671431408,0.518051162,0.639554464,0.761229402,0.763610315,0.681779829,0.480542537,0.667694811,SimpleImputer,LGBMClassifier,7731.9749,0.046373367
7,rehab,class_full_,2/,0.189854283,0.959777521,0.889964158,0.89258371,0.366743015,0.85023424,0.751591349,0.68982808,0.685508487,0.569700627,0.628551606,0.759070379,0.765759312,0.670544223,0.486723561,0.662179833,RandomForestClassifier,1580.591624,0.089706182,0.997932083,0.950716846,0.967902495,0.287573122,0.931070756,0.75262433,0.705587393,0.682877953,0.555803477,0.636388064,0.759265808,0.757879656,0.660524618,0.484910957,0.652007941,KNNImputer,RandomForestClassifier,4887.823204,0.098220587
8,rehab,class_full_,3/,0.212840135,0.977826089,0.901971326,0.919105629,0.351985193,0.868314232,0.746643587,0.685530086,0.681531666,0.573483138,0.624447635,0.757634132,0.757163324,0.689038614,0.506013013,0.668152083,LGBMClassifier,1924.493805,0.052787304,0.994642029,0.924910394,0.949697516,0.313685632,0.898483743,0.750784817,0.689111748,0.681277298,0.568920671,0.626386258,0.759988584,0.754297994,0.673373288,0.490645451,0.657915248,KNNImputer,RandomForestClassifier,3527.502564,0.098881245
9,los,class_full_,1/,0.185024046,0.995656112,0.946594982,0.964227042,0.348814744,0.926531404,0.795050903,0.79226361,0.689923193,0.492502792,0.689923193,0.790675944,0.776504298,0.68728535,0.498028523,0.679503632,RandomForestClassifier,1152.393773,0.112929583,0.947233226,0.882616487,0.864391841,0.382688488,0.837295153,0.77552596,0.757163324,0.690972509,0.521232039,0.670807622,0.79555335,0.792979943,0.710034834,0.481358788,0.702117951,SimpleImputer,ExtraTreesClassifier,4516.405827,0.076973438
10,los,class_full_,2/,0.209452368,0.993522188,0.95,0.964243993,0.331907695,0.930622373,0.785090823,0.79512894,0.688057401,0.495767209,0.690372494,0.784707861,0.79512894,0.692971572,0.494960262,0.693445946,ExtraTreesClassifier,1638.227782,0.089623213,0.994093546,0.946774194,0.957594564,0.332479175,0.925912246,0.7839113,0.775787966,0.694201646,0.521690739,0.683093377,0.792811341,0.787965616,0.700707408,0.487724519,0.693855113,SimpleImputer,RandomForestClassifier,5858.180385,0.123509169
11,los,class_full_,3/,0.194024922,0.998624183,0.960035842,0.974607151,0.279321185,0.94410465,0.786000741,0.800859599,0.696611244,0.464750035,0.699033403,0.784346345,0.789398281,0.693017527,0.473808349,0.690179631,RandomForestClassifier,1683.947676,0.103942871,0.999500086,0.97311828,0.982612956,0.287296795,0.961622201,0.787397787,0.804441261,0.682914985,0.478547657,0.692199841,0.786043633,0.794412607,0.677774101,0.479156461,0.683250757,KNNImputer,RandomForestClassifier,3932.396498,0.116243124
