,DatasetID,Exp_Name,Triplicate,Exp1ImputeRMSEAcc,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
0,home,class_simple_,1/,0.318168307,0.952146675,0.878136201,0.874657606,0.408407298,0.853764095,0.787829648,0.670487106,0.699223501,0.588887257,0.647012779,0.799284831,0.751432665,0.709818505,0.513290937,0.699357333,RandomForestClassifier,1838.707489,0.095895767,0.999948462,0.996415771,0.996502903,0.245971123,0.995473403,0.782244987,0.735673352,0.713150071,0.548180516,0.692130785,0.796491201,0.76217765,0.686416981,0.498987499,0.691001363,SimpleImputer,RandomForestClassifier,1181.145273,0.132217407
1,home,class_simple_,2/,0.320724344,0.991899937,0.938709677,0.948406846,0.351472619,0.926086315,0.786927891,0.69269341,0.709459881,0.57500291,0.664755008,0.79537115,0.74713467,0.70687155,0.51742511,0.695469818,RandomForestClassifier,1011.457506,0.114244938,0.999367726,0.98046595,0.985148312,0.248249842,0.975748687,0.774695689,0.686246418,0.705039449,0.576443664,0.659090757,0.796800449,0.757879656,0.696775501,0.490735683,0.695462478,SimpleImputer,RandomForestClassifier,1228.850865,0.108566523
2,home,class_simple_,3/,0.324388663,0.969273508,0.906989247,0.900056188,0.384231299,0.886199305,0.783518363,0.699856734,0.711045103,0.574041573,0.66982826,0.795932475,0.755014327,0.698137234,0.509730938,0.694817747,RandomForestClassifier,1406.496552,0.10296154,0.985653611,0.934050179,0.940016739,0.315159972,0.920122921,0.763476991,0.679083095,0.700127857,0.594014205,0.65281343,0.788710616,0.741404011,0.704605461,0.511398504,0.691174479,SimpleImputer,LGBMClassifier,797.9292862,0.0341115
3,hosp,class_simple_,1/,0.337020729,0.981597469,0.933154122,0.923870709,0.269546921,0.9161128,0.794315461,0.787249284,0.730888777,0.496461457,0.729505197,0.802933888,0.803008596,0.717668431,0.45685536,0.730801837,RandomForestClassifier,2049.603958,0.094499826,0.985079206,0.941935484,0.953780014,0.273929793,0.929545455,0.791070754,0.748567335,0.72249349,0.528553618,0.702566749,0.801314159,0.797994269,0.734789777,0.47504628,0.738004728,SimpleImputer,RandomForestClassifier,951.3225942,0.101994038
4,hosp,class_simple_,2/,0.318397729,0.984077647,0.940143369,0.93269522,0.259759016,0.924868613,0.793386152,0.77722063,0.723197035,0.503373328,0.719560475,0.802558489,0.803724928,0.719012517,0.458367919,0.732052241,RandomForestClassifier,1800.492657,0.094820023,0.964699001,0.902150538,0.883077712,0.316753941,0.876930281,0.794696111,0.767908309,0.727119036,0.516562701,0.716174699,0.804230721,0.797277937,0.724031838,0.469084633,0.731490109,SimpleImputer,RandomForestClassifier,1193.672762,0.09297514
5,hosp,class_simple_,3/,0.321926244,0.984566032,0.941039427,0.932665589,0.259501995,0.925827465,0.79562017,0.791547278,0.734674269,0.496373766,0.734071739,0.802272345,0.796561605,0.708139071,0.45692584,0.7211417,RandomForestClassifier,1738.357048,0.097761154,0.952178273,0.87437276,0.847261159,0.343886428,0.841896054,0.792538222,0.750716332,0.723102529,0.533687628,0.704118399,0.805451424,0.795845272,0.729901714,0.474457889,0.734030712,SimpleImputer,RandomForestClassifier,1729.744633,0.09313798
6,rehab,class_simple_,1/,0.326586077,0.968691346,0.90609319,0.901200842,0.364194809,0.868833833,0.755710865,0.696991404,0.67618374,0.559199551,0.628614824,0.772976846,0.778653295,0.683734118,0.48206523,0.677056764,RandomForestClassifier,2559.102577,0.092489719,0.936312691,0.855555556,0.849062433,0.395981978,0.806009317,0.737042759,0.684813754,0.672262756,0.581726642,0.620145451,0.758198705,0.758595989,0.676090679,0.49662938,0.661741708,SimpleImputer,RandomForestClassifier,1696.655965,0.085674286
7,rehab,class_simple_,2/,0.320293857,0.999143727,0.965770609,0.978048755,0.270358901,0.951063687,0.752968657,0.716332378,0.675817699,0.544635806,0.639036239,0.766809981,0.767191977,0.662634008,0.474367743,0.657919241,RandomForestClassifier,1730.707462,0.105676889,0.946911861,0.855197133,0.869661556,0.370437375,0.81152592,0.762975854,0.729226361,0.706639617,0.545027363,0.660526803,0.769896516,0.74713467,0.692773476,0.505536881,0.664442957,SimpleImputer,LGBMClassifier,1658.566886,0.042733908
8,rehab,class_simple_,3/,0.302270635,0.9511668,0.865232975,0.879160413,0.361415729,0.823149177,0.753266453,0.702722063,0.68484465,0.554926153,0.635638657,0.762895201,0.740687679,0.679881378,0.506079346,0.654250239,LGBMClassifier,855.7058768,0.04136157,0.997646658,0.965949821,0.971220139,0.350680014,0.950692005,0.741934683,0.716332378,0.663223397,0.556611734,0.632743845,0.758685726,0.769340974,0.653917262,0.51110946,0.653141474,SimpleImputer,RandomForestClassifier,1393.565566,0.122287512
9,los,class_simple_,1/,0.344038138,0.996748453,0.963799283,0.975465145,0.278574213,0.948942531,0.788675349,0.797994269,0.68619161,0.477669037,0.690784616,0.792633646,0.797277937,0.689422279,0.469727288,0.692456198,ExtraTreesClassifier,998.5333705,0.084826469,0.94871209,0.880824373,0.867239627,0.38680226,0.836346453,0.775149125,0.770057307,0.69793323,0.525637872,0.681869329,0.791092606,0.784383954,0.698432612,0.482600479,0.690453091,SimpleImputer,RandomForestClassifier,945.3260527,0.092134953
